#Code,description
#Extracted from http://www.publictendering.com/xls/CPV2008es.xls on 20151010. Converted using in2csv.
03000000-1,"Productos de la agricultura, ganadería, pesca, silvicultura y productos afines"
03100000-2,Productos de la agricultura y horticultura
03110000-5,"Cultivos, productos comerciales de jardinería y horticultura"
03111000-2,Semillas
03111100-3,Soja
03111200-4,Cacahuetes
03111300-5,Semillas de girasol
03111400-6,Semillas de algodón
03111500-7,Semillas de sésamo
03111600-8,Semillas de mostaza
03111700-9,Semillas de hortalizas
03111800-0,Semillas de frutos
03111900-1,Semillas de flores
03112000-9,Tabaco sin elaborar
03113000-6,Plantas utilizadas para la fabricación de azúcar
03113100-7,Remolacha azucarera
03113200-8,Caña de azúcar
03114000-3,Paja y plantas forrajeras
03114100-4,Paja
03114200-5,Plantas forrajeras
03115000-0,Materias vegetales en bruto
03115100-1,Materias vegetales en bruto utilizadas en la fabricación de textiles
03115110-4,Algodón
03115120-7,Yute
03115130-0,Lino
03116000-7,Caucho y látex naturales y productos afines
03116100-8,Caucho natural
03116200-9,Látex natural
03116300-0,Productos de látex
03117000-4,Plantas utilizadas para usos específicos
03117100-5,"Plantas utilizadas en perfumería o farmacia, o en la elaboración de insecticidas o con fines análogos"
03117110-8,Plantas utilizadas en perfumería
03117120-1,Plantas utilizadas en farmacia
03117130-4,Plantas utilizadas en la elaboración de insecticidas
03117140-7,Plantas utilizadas en la elaboración de pesticidas o fungicidas o con fines análogos
03117200-6,Semillas de plantas utilizadas para usos específicos
03120000-8,Productos de horticultura y viveros
03121000-5,Productos de horticultura
03121100-6,"Plantas vivas, bulbos, raíces y esquejes"
03121200-7,Flores cortadas
03121210-0,Arreglos florales
03130000-1,Cultivos de especias y de plantas para bebidas
03131000-8,Cultivos de plantas para bebidas
03131100-9,Café en grano
03131200-0,Plantas de té
03131300-1,Mate
03131400-2,Cacao en grano
03132000-5,Especias no manufacturadas
03140000-4,Productos de origen animal y productos afines
03141000-1,Semen de toro
