"Acciona Agua, S.A., y Acciona Infraestructura",Acciona Agua,Acciona
"Acciona Agua, S.A., y Acciona Infraestructura",Acciona Infraestructuras,Acciona
"Acciona Infraestructuras, S.A. y Acsa Obras e Infraestructuras, S.A. constituidas en S.A. Ampliació Facultat de Dret",Acciona Infraestructuras,Acciona
"Acciona Infraestructuras, S.A. y Acsa Obras e Infraestructuras, S.A. constituidas en S.A. Ampliació Facultat de Dret","ACSA, Obras e Infraestructuras",Sorigué
"Acciona Infraestructuras, S.A. y Pavasal Infraestructuras",Acciona Infraestructuras,Acciona
"Acciona Infraestructuras, S.A. y Pavasal Infraestructuras",Pavasal Infraestructuras,Pavasal
Aconssa y Ancodarq,Aparejadores y Constructores,Aparejadores y Constructores
Aconssa y Ancodarq,Ancodarq,Ancodarq
"ACSA Obras e Infraestructuras, S.A.-Suris","ACSA, Obras e Infraestructuras",Sorigué
"ACSA Obras e Infraestructuras, S.A.-Suris",Suris,Suris
"Acsa Obras e Infraestructuras, S.A., y Vialex Constructora Aragonesa","ACSA, Obras e Infraestructuras",Sorigué
"Acsa Obras e Infraestructuras, S.A., y Vialex Constructora Aragonesa","Vialex, Constructora Aragonesa",Sorigué
"Aqualogy Medio Ambiente S.A.U., y Zarzuela, S.A. Empresa Constructora",Aqualogy Medio Ambiente,Agbar
"Aqualogy Medio Ambiente S.A.U., y Zarzuela, S.A. Empresa Constructora",Zarzuela Empresa Constructora,Zarzuela Empresa Constructora
Aramaio UTE Acciona Infraestructuras S.A.U. y Excavaciones Viuda de Sainz,Acciona Infraestructuras,Acciona
Aramaio UTE Acciona Infraestructuras S.A.U. y Excavaciones Viuda de Sainz,Excavaciones Vda. de Sainz,Excavaciones Vda. de Sainz
"Benito Arno e Hijos, S.A. y Rubau Tarres",Benito Arnó e Hijos,Benito Arnó e Hijos
"Benito Arno e Hijos, S.A. y Rubau Tarres",Rubau Tarrés,Rubau Tarrés
"Campezo Construcción, S.A.; Elektra, S.A.;Indra Sistemas, S.A.; Gertek Sociedad de Gestiones y Servicios",Campezo,Grupo Campezo
"Campezo Construcción, S.A.; Elektra, S.A.;Indra Sistemas, S.A.; Gertek Sociedad de Gestiones y Servicios","Elektra, S.A.","Elektra, S.A."
"Campezo Construcción, S.A.; Elektra, S.A.;Indra Sistemas, S.A.; Gertek Sociedad de Gestiones y Servicios","Gertek Sociedad de Gestiones y Servicios, S.A","Gertek Sociedad de Gestiones y Servicios, S.A"
"Campezo Construcción, S.A.; Elektra, S.A.;Indra Sistemas, S.A.; Gertek Sociedad de Gestiones y Servicios",Indra Sistemas,Indra Sistemas
